ccgname,practicename,diagnosisname,numpatientswithdiagnosis
ccg1,practice1,diagnosis1,95
ccg1,practice1,diagnosis1,71
ccg1,practice1,diagnosis1,73
ccg1,practice1,diagnosis1,92
ccg1,practice5,diagnosis1,77
ccg1,practice5,diagnosis1,64
ccg1,practice5,diagnosis1,88
ccg1,practice8,diagnosis1,84
ccg1,practice9,diagnosis1,21
ccg10,practice1,diagnosis1,6
ccg11,practice11,diagnosis11,1
ccg11,practice11,diagnosis11,75
ccg11,practice11,diagnosis11,71
ccg11,practice1,diagnosis11,72
ccg11,practice1,diagnosis11,31
ccg16,practice1,diagnosis11,81
ccg17,practice17,diagnosis11,55
ccg17,practice17,diagnosis11,84
ccg17,practice17,diagnosis11,54
ccg17,practice17,diagnosis11,55
ccg17,practice21,diagnosis11,21
ccg17,practice1,diagnosis22,81
ccg17,practice1,diagnosis22,79
ccg17,practice1,diagnosis22,46
ccg17,practice25,diagnosis22,55
ccg17,practice26,diagnosis22,92
ccg17,practice26,diagnosis22,17
ccg28,practice1,diagnosis22,27
ccg29,practice1,diagnosis22,67
