,room,HVAC Input Sensible Air Heating [GJ],HVAC Input Heated Surface Heating [GJ],People Sensible Heat Addition [GJ],Lights Sensible Heat Addition [GJ],Equipment Sensible Heat Addition [GJ],Window Heat Addition [GJ],Interzone Air Transfer Heat Addition [GJ],Infiltration Heat Addition [GJ],Opaque Surface Conduction and Other Heat Addition [GJ]
1F_CONF_VR1 THERMAL ZONE,1F_CONF_VR1 THERMAL ZONE,0.921,0,1.471,4.945,4.681,26.969,0,0.698,3.167
1F_LOCKER_VR1 THERMAL ZONE,1F_LOCKER_VR1 THERMAL ZONE,0.153,0,2.051,6.917,6.547,0,0,0.725,5.304
1F_MLOBBY_VR1 THERMAL ZONE,1F_MLOBBY_VR1 THERMAL ZONE,1.558,0,5.942,20.173,19.094,59.545,0,1.857,22.714
1F_MUGAL_VR3 THERMAL ZONE,1F_MUGAL_VR3 THERMAL ZONE,1.982,0,4.02,13.593,12.866,55.288,0,1.637,8.945
2F_CONF_VR2 THERMAL ZONE,2F_CONF_VR2 THERMAL ZONE,1.793,0,12.708,43.207,40.896,63.428,0,4.135,53.693
2F_LIB_VR2 THERMAL ZONE,2F_LIB_VR2 THERMAL ZONE,0.832,0,5.216,17.634,16.691,26.347,0,1.588,17.237
2F_MUGAL_VR3 THERMAL ZONE,2F_MUGAL_VR3 THERMAL ZONE,2.43,0,5.319,17.922,16.964,48.017,0,2.244,20.996
GF_BREAKRM_VR3 THERMAL ZONE,GF_BREAKRM_VR3 THERMAL ZONE,2.092,0,0,0,0,0,0,0,0
GF_OFF_VR3 THERMAL ZONE,GF_OFF_VR3 THERMAL ZONE,2.313,0,0,0,0,0,0,0,0
1F_STORE_MV THERMAL ZONE,1F_STORE_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
1F_WCPUB_MV THERMAL ZONE,1F_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
2F_SHOWER_MV THERMAL ZONE,2F_SHOWER_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
2F_WCPUB_MV THERMAL ZONE,2F_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_CORR_MV THERMAL ZONE,GF_CORR_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_PARKING_MV THERMAL ZONE,GF_PARKING_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_PLANTRM_MV THERMAL ZONE,GF_PLANTRM_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_REFMECHRM_MV THERMAL ZONE,GF_REFMECHRM_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_STAIR_MV THERMAL ZONE,GF_STAIR_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_STORE_MV THERMAL ZONE,GF_STORE_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_TRASH_MV THERMAL ZONE,GF_TRASH_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
GF_WCPUB_MV THERMAL ZONE,GF_WCPUB_MV THERMAL ZONE,0,0,0,0,0,0,0,0,0
LIFT THERMAL ZONE,LIFT THERMAL ZONE,0,0,0,0,0,0,0,0,0
