Source,Visits,Pages_Visit,Avg._Visit_Duration,New_Visits,BounceRate
google,6193,1.88,0:03:41,69.90%,66.98%
(direct),2166,1.51,0:01:47,78.67%,74.88%
yahoo,743,1.53,0:01:58,80.22%,73.08%
t.co,482,2.25,0:03:29,65.98%,70.75%
zenback.itmedia.co.jp,250,2.06,0:05:16,47.20%,62.40%
b.hatena.ne.jp,219,1.58,0:03:15,73.52%,69.41%
creive.me,209,1.48,0:04:43,77.99%,59.81%
facebook.com,153,1.97,0:02:35,69.28%,78.43%
d.hatena.ne.jp,120,1.31,0:01:48,90.83%,75.00%
matome.naver.jp,105,1.98,0:02:33,34.29%,65.71%
m.facebook.com,89,1.3,0:01:08,84.27%,87.64%
ja.d3js.node.ws,83,5.52,0:12:28,53.01%,28.92%
google.co.jp,58,1.9,0:01:24,68.97%,79.31%
jsdo.it,57,5.67,0:07:26,26.32%,45.61%
reader.livedoor.com,44,1.3,0:05:45,25.00%,77.27%
wordpress.com,41,6.78,0:09:29,4.88%,14.63%
www-ig-opensocial.googleusercontent.com,36,1.25,0:00:39,97.22%,72.22%
search.fenrir-inc.com,29,1.48,0:01:44,96.55%,58.62%
m.sleipnirstart.com,27,1.26,0:02:11,74.07%,70.37%
echofon,22,1.23,0:00:35,100.00%,81.82%
qiita.com,22,1.18,0:00:50,68.18%,81.82%
rakuten,21,1.19,0:00:58,76.19%,80.95%
dothtml5.com,19,2.84,0:03:07,42.11%,36.84%
urooboe.blogspot.jp,15,5.33,0:05:48,53.33%,0.00%
bing,13,1.15,0:00:04,92.31%,84.62%
